customer_name,total_sales,cum_share,tier
Emily Miller,8163,0.05030796949705379,A
George McDonald,8162,0.05061061252137495,A
Jerome Romero,8162,0.05091325554569611,A
Meredith Raman,8161,0.05121586149049947,A
Blake Anderson,8159,0.05151839327626721,A
Chad Kumar,8158,0.051820887982517154,A
Andre Perez,8158,0.052123382688767095,A
Louis Luo,8158,0.05242587739501704,A
Adrienne Gomez,8156,0.05272829794223137,A
Isaiah Ramirez,8156,0.053030718489445704,A
Nicole Brown,8154,0.05333306487762443,A
Latasha Munoz,8153,0.05363537418628535,A
Jon Zhou,8153,0.053937683494946265,A
Gabriella Sanders,8151,0.054239918644571575,A
Edgar Mehta,8149,0.05454207963516128,A
Dustin Chander,8149,0.054844240625750974,A
Latoya She,8148,0.055146364536822874,A
Adriana Lopez,8145,0.05544837720934136,A
Philip Carlson,8143,0.055750315722824226,A
Adrienne Torres,8143,0.0560522542363071,A
Marc Torres,8143,0.05635419274978997,A
Ross Sanz,8142,0.05665609418375504,A
Tasha Deng,8141,0.056957958538202305,A
Kara Anand,8140,0.057259785813131764,A
Clayton Nara,8139,0.05756157600854342,A
Christy Zhu,8139,0.057863366203955074,A
Meredith Gutierrez,8137,0.058165082240331116,A
Dustin Goldstein,8137,0.058466798276707165,A
Melvin Chande,8137,0.058768514313083206,A
Tina Mehta,8136,0.05907019326994145,A
Sarah Garcia,8135,0.059371835147281886,A
Curtis Lu,8133,0.059673402865586714,A
Kyle Patterson,8132,0.05997493350437373,A
Heidi Lopez,8131,0.06027642706364295,A
Rosa Wang,8131,0.06057792062291217,A
Alvin Hu,8130,0.060879377102663584,A
Todd Gao,8129,0.06118079650289719,A
Ross Jordan,8129,0.0614822159031308,A
Jessie Ramos,8129,0.061783635303364406,A
Alejandro Huang,8128,0.06208501762408021,A
Frederick Martinez,8128,0.062386399944796014,A
Deborah Goel,8127,0.06268774518599401,A
Kari Alvarez,8124,0.0629889791886386,A
Orlando Carlson,8123,0.06329017611176538,A
Tonya Chande,8123,0.06359137303489217,A
Roy Sanz,8121,0.06389249579898333,A
Julio Ruiz,8121,0.0641936185630745,A
Jessie Jimenez,8119,0.06449466716813007,A
Janet Alvarez,8119,0.06479571577318563,A
Julio Ortega,8119,0.06509676437824119,A
Frank Carlson,8118,0.06539777590377895,A
Laura Lin,8116,0.0656987132702811,A
Jarrod Suri,8114,0.06599957647774764,A
Colin Nath,8114,0.06630043968521418,A
Ruben Torres,8114,0.06660130289268071,A
Jaclyn Zheng,8113,0.06690212902062945,A
Shannon Yang,8113,0.06720295514857819,A
Cheryl Diaz,8110,0.0675036700379735,A
Kate Raji,8108,0.06780431076833322,A
Rob Verhoff,8106,0.06810487733965732,A
Nichole She,8105,0.06840540683146362,A
Carolyn Navarro,8104,0.06870589924375212,A
Edwin Nara,8099,0.06900620625845158,A
Kari Kim,8098,0.06930647619363324,A
Candace Fernandez,8096,0.06960667196977931,A
Rachael Sai,8095,0.06990683066640756,A
Curtis Yang,8093,0.0702069152040002,A
Kevin Coleman,8091,0.07050692558255724,A
Shannon Carlson,8091,0.07080693596111426,A
Jermaine Lopez,8090,0.07110690926015349,A
Melinda Navarro,8089,0.07140684547967492,A
Victor Jimenez,8089,0.07170678169919634,A
Jacquelyn Suarez,8088,0.07200668083919996,A
Carl Andersen,8088,0.07230657997920358,A
Melinda Gill,8087,0.0726064420396894,A
Audrey Ramos,8087,0.0729063041001752,A
Rafael Tang,8079,0.07320586952451859,A
Jessie Liu,8079,0.07350543494886197,A
Kelsey Becker,8079,0.07380500037320535,A
Kathryn Chapman,8078,0.07410452871803092,A
Jennifer Roberts,8078,0.0744040570628565,A
Carrie Ortega,8078,0.07470358540768207,A
Linda Ortega,8078,0.07500311375250764,A
Felicia Jimenez,8068,0.07530227130215517,A
Antonio Patterson,8068,0.0756014288518027,A
Anne Ramos,8068,0.07590058640145023,A
Johnathan Suri,8067,0.07619970687157995,A
Andr├®s Anand,8063,0.07649867902363845,A
Dawn Nath,8054,0.07679731746003672,A
Crystal Zeng,8052,0.07709588173739937,A
Felicia Blanco,8022,0.07739333362922789,A
Jill Suarez,7997,0.07768985853311129,A
Suzanne Zhou,7987,0.07798601264181663,A
Preston Raman,7932,0.07828012737704275,A
Allen Garcia,7853,0.07857131283036228,A
Anne Hernandez,7586,0.07885259805242799,A
Mayra Prasad,7543,0.0791322888552281,A
Latoya Goel,7511,0.07941079311345847,A
Abby Subram,7494,0.07968866701988615,A
Lance Blanco,7393,0.07996279589501558,A
Audrey Blanco,7384,0.08023659105448476,A
Martin Suri,7343,0.08050886595372395,A
Craig Jim├®nez,7300,0.08077954643369754,A
Alan Chen,7294,0.08105000443656431,A
Ricky Navarro,7292,0.08132038828039546,A
Carol Xu,7285,0.08159051256760198,A
Jarrod Mehta,7275,0.08186026605963047,A
Johnny Moyer,7265,0.08212964875648089,A
Melanie Sanchez,7265,0.08239903145333133,A
Luke Adams,7259,0.08266819167307493,A
Jodi Shan,7255,0.08293720357474732,A
Eddie Dominguez,7253,0.0832061413173841,A
Molly Madan,7247,0.08347485658291405,A
Eduardo Robinson,7243,0.08374342353037278,A
Stacy Ruiz,7242,0.0840119533983137,A
James Flores,7239,0.08428037202770122,A
Kurt Raheem,7237,0.08454871649805312,A
Cheryl Jim├®nez,7233,0.08481691265033381,A
Craig Navarro,7232,0.08508507172309669,A
Andrew Jones,7231,0.08535319371634176,A
Kristin Jai,7229,0.08562124155055123,A
Regina Perez,7226,0.08588917814620728,A
Jordan Shan,7226,0.08615711474186334,A
Todd Wang,7224,0.08642497717848378,A
Susan Zhou,7223,0.08669280253558642,A
Mary Carter,7221,0.08696055373365345,A
Charles Taylor,7216,0.08722811953413145,A
Mallory Martin,7212,0.08749553701653824,A
Mackenzie Ramirez,7212,0.08776295449894503,A
Damien Liu,7211,0.08803033490183401,A
Ashlee Deng,7210,0.08829767822520519,A
Theodore Vazquez,7206,0.08856487323050516,A
Jay Alonso,7206,0.08883206823580511,A
Jeffery Chen,7205,0.08909922616158727,A
Cindy Lewis,7203,0.08936630992833382,A
Corey Anand,7203,0.08963339369508037,A
Alyssa Bradley,7200,0.0899003662232735,A
Lindsey Andersen,7200,0.09016733875146664,A
Julian Wood,7200,0.09043431127965977,A
Drew Sharma,7195,0.09070109841026387,A
Vincent Sun,7192,0.09096777430231458,A
Ian Richardson,7191,0.09123441311484747,A
Megan Stewart,7190,0.09150101484786255,A
Brent Zhang,7189,0.09176757950135983,A
Robin Vazquez,7188,0.09203410707533931,A
Jake She,7187,0.09230059756980098,A
Tabitha Jimenez,7186,0.09256705098474485,A
Wayne Lal,7185,0.09283346732017092,A
Jacqueline James,7182,0.09309977241704358,A
Logan Mitchell,7182,0.09336607751391622,A
Marshall Lin,7176,0.09363216013368204,A
Alexis Coleman,7175,0.09389820567393006,A
Shane Sanchez,7175,0.09416425121417808,A
Dominic Gonzalez,7171,0.09443014843635487,A
Diana Navarro,7170,0.09469600857901388,A
Clinton Alvarez,7169,0.09496183164215506,A
Robin Alvarez,7164,0.09522746930770723,A
Claudia Gao,7162,0.09549303281422379,A
Terrence Anand,7162,0.09575859632074035,A
Erick Lopez,7159,0.09602404858870349,A
Jaime Shen,7152,0.096289241300042,A
Manuel Perez,7147,0.0965542486137915,A
Alexandra Hall,7138,0.09681892221188075,A
Spencer Griffin,7138,0.09708359580996999,A
Claudia Zhou,7131,0.0973480098514346,A
Kate Rai,7131,0.09761242389289923,A
Shannon Liu,7115,0.09787624466207896,A
Wendy Ortega,7109,0.09813984295415189,A
Patricia Chapman,7107,0.09840336708718919,A
Seth Rodriguez,7082,0.09866596423228137,A
Dustin Deng,7075,0.09892830182074894,A
Kelvin Lal,7069,0.09919041693210967,A
Raymond Sanchez,7068,0.09945249496395259,A
Zachary Martinez,7064,0.0997144246777243,A
Veronica Srini,7059,0.09997616899390699,A
Donald Chandra,7049,0.10023754251491163,A
Reginald Suarez,7044,0.10049873063832723,A
Johnny Shan,7043,0.10075988168222505,A
Randy Hu,7041,0.10102095856708725,A
Kristina Kapoor,7030,0.1012816275772536,A
Eduardo White,7029,0.10154225950790215,A
Crystal Liang,7024,0.10180270604096167,A
Shannon Sun,7024,0.1020631525740212,A
Krystal Hu,7017,0.10232333955045608,A
Noah Ross,7016,0.10258348944737317,A
Clayton Li,7016,0.10284363934429026,A
Gary Ortega,7014,0.10310371508217174,A
Terry Tang,7005,0.10336345710439297,A
Scott Seely,7001,0.10362305080854299,A
Adrienne Sanz,7001,0.10388264451269301,A
Adrienne Serrano,7000,0.10414220113732522,A
Russell Sharma,7000,0.10440175776195743,A
Stefanie Raman,6999,0.10466127730707184,A
Dennis Zhou,6998,0.10492075977266845,A
Veronica Vance,6995,0.10518013099971163,A
Andre Martinez,6995,0.10543950222675483,A
Tyrone Rubio,6990,0.105698688056209,A
Stacy Hernandez,6990,0.10595787388566316,A
Lawrence Dominguez,6987,0.1062169484765639,A
Joseph Martin,6987,0.10647602306746466,A
Gilbert Shen,6985,0.10673502349932981,A
Franklin He,6982,0.10699391269264154,A
Andres Pal,6981,0.10725276480643546,A
Ian Torres,6980,0.10751157984071158,A
Donna Deng,6979,0.1077703577954699,A
Warren He,6978,0.10802909867071041,A
Julia Morris,6975,0.10828772830739751,A
Dana Dominguez,6975,0.10854635794408461,A
Jay Suri,6974,0.1088049505012539,A
Deanna Martinez,6974,0.1090635430584232,A
Jimmy Gutierrez,6974,0.10932213561559248,A
Deanna Chandra,6973,0.10958069109324398,A
Jonathon Hernandez,6970,0.10983913533234205,A
Franklin Raji,6968,0.11009750541240451,A
Ruben Suarez,6964,0.11035572717439576,A
Tyrone Suarez,6963,0.11061391185686921,A
Donna Sharma,6962,0.11087205945982484,A
Jason Campbell,6962,0.11113020706278048,A
Priscilla Pal,6960,0.11138828050670051,A
Jaclyn Andersen,6960,0.11164635395062054,A
Dawn Wu,6959,0.11190439031502276,A
Megan Ramirez,6959,0.11216242667942498,A
Latasha Dominguez,6959,0.11242046304382722,A
Karla Anand,6955,0.11267835109015821,A
Gerald Rodriguez,6955,0.11293623913648922,A
Roberto Vazquez,6954,0.11319409010330242,A
Christine Raje,6953,0.11345190399059782,A
Brenda Chandra,6953,0.11370971787789322,A
Jessica Patterson,6951,0.11396745760615301,A
Melanie Sanders,6951,0.11422519733441279,A
Kathryn Xie,6950,0.11448289998315478,A
Larry Ortega,6946,0.11474045431382554,A
Karla Raji,6945,0.1149979715649785,A
Jenny Lal,6945,0.11525548881613146,A
Shawn Shan,6944,0.11551296898776661,A
Troy Srini,6944,0.11577044915940177,A
Warren Raje,6940,0.11602778101296571,A
Katrina Andersen,6939,0.11628507578701183,A
Randall Munoz,6939,0.11654237056105797,A
Franklin Xu,6935,0.11679951701703288,A
Gilbert Huang,6933,0.11705658931397218,A
Clinton Dominguez,6932,0.11731362453139368,A
Katrina Luo,6931,0.11757062266929738,A
Blake Diaz,6922,0.11782728709154083,A
Billy Torres,6921,0.11808391443426648,A
Erika Munoz,6919,0.11834046761795652,A
Terrence Xie,6918,0.11859698372212876,A
Kelli Sun,6918,0.118853499826301,A
Seth Sanchez,6918,0.11911001593047324,A
Ruth Mehta,6918,0.11936653203464546,A
Barbara Goel,6915,0.11962293690026429,A
Glenn Wang,6915,0.11987934176588311,A
Francisco Ashe,6912,0.12013563539294853,A
Yolanda Shan,6911,0.12039189194049613,A
Desiree Ortega,6911,0.12064814848804373,A
Jenny Xu,6909,0.12090433087655572,A
Johnathan Madan,6909,0.12116051326506772,A
Craig Carlson,6908,0.1214166585740619,A
Pedro Sanz,6908,0.1216728038830561,A
Cheryl Martin,6907,0.12192891211253248,A
Jimmy Vazquez,6906,0.12218498326249105,A
Juan Peterson,6906,0.12244105441244964,A
Lawrence Sanz,6905,0.12269708848289042,A
Carl Xie,6905,0.1229531225533312,A
Isabel Barnes,6905,0.12320915662377196,A
Jaclyn Xu,6904,0.12346515361469494,A
Cassandra Rana,6904,0.1237211506056179,A
Cameron Anderson,6901,0.12397703635798747,A
Alberto Ramos,6901,0.12423292211035702,A
Gilbert Guo,6896,0.12448862246513756,A
Gregory Becker,6894,0.12474424866088249,A
Shaun Shen,6893,0.1249998377771096,A
Renee Suarez,6891,0.1252553527343011,A
Karla She,6890,0.12551083061197482,A
Deanna Garcia,6890,0.12576630848964854,A
Karla Yuan,6889,0.12602174928780444,A
Andres Raji,6888,0.12627715300644252,A
Colleen Anand,6886,0.12653248256604502,A
Casey Vazquez,6881,0.1267876267280585,A
George Sanchez,6880,0.12704273381055414,A
Barry Sara,6872,0.12729754425690737,A
Eugene Ye,6872,0.1275523547032606,A
Cole Ramirez,6872,0.12780716514961382,A
Catherine Cox,6871,0.12806193851644923,A
Lacey Kumar,6871,0.12831671188328464,A
Jeremiah Griffin,6870,0.12857144817060226,A
Gary Gutierrez,6868,0.12882611029888427,A
Stacy Navarro,6867,0.12908073534764847,A
Clayton Jai,6865,0.12933528623737706,A
Emma Patterson,6865,0.12958983712710564,A
Trisha Zhou,6864,0.12984435093731644,A
Wesley Gao,6864,0.13009886474752724,A
Deanna Martin,6864,0.13035337855773801,A
Kristi Dominguez,6864,0.1306078923679488,A
Joy Gomez,6863,0.1308623690986418,A
Craig Munoz,6862,0.13111680874981696,A
Mindy Kumar,6860,0.13137117424195655,A
Nichole Andersen,6859,0.13162550265457829,A
Arthur Chandra,6859,0.13187983106720005,A
Michele Madan,6859,0.13213415947982182,A
Ebony Carlson,6858,0.13238845081292577,A
Anna Martinez,6855,0.13264263090747633,A
Carmen Perez,6854,0.13289677392250906,A
Andre Garcia,6854,0.1331509169375418,A
Louis Liang,6851,0.13340494871402114,A
Grant Nara,6850,0.13365894341098267,A
Michele Chande,6850,0.1339129381079442,A
Damien Ye,6848,0.1341668586458701,A
Audrey Ruiz,6847,0.1344207421042782,A
Tamara Pal,6846,0.13467458848316852,A
Leonard Nath,6845,0.134928397782541,A
Denise Mehta,6844,0.1351821700023957,A
Raymond Malhotra,6844,0.13543594222225042,A
Pedro Rana,6843,0.1356896773625873,A
Terry Yuan,6843,0.1359434125029242,A
Kelvin Lin,6843,0.13619714764326107,A
Darren Dominguez,6842,0.13645084570408017,A
Brendan Raji,6842,0.13670454376489924,A
Alan Wang,6841,0.13695820474620052,A
Katie Kumar,6840,0.137211828647984,A
Nichole Shen,6840,0.13746545254976747,A
Theresa Munoz,6840,0.13771907645155096,A
Summer Madan,6839,0.13797266327381663,A
Melissa Patterson,6839,0.1382262500960823,A
Diane Martin,6839,0.13847983691834798,A
Willie Xu,6839,0.13873342374061365,A
Morgan Young,6838,0.1389869734833615,A
Rachel Reed,6838,0.1392405232261094,A
Cheryl Munoz,6838,0.13949407296885724,A
Bryant Sanchez,6832,0.13974740023449828,A
Diana Alvarez,6832,0.14000072750013934,A
Kristine Dominguez,6831,0.14025401768626256,A
Ethan Jones,6831,0.1405073078723858,A
Evelyn Rodriguez,6831,0.14076059805850905,A
Jarrod Rodriguez,6831,0.14101388824463226,A
Jimmy Travers,6829,0.1412671042717199,A
Leslie Hernandez,6829,0.1415203202988075,A
Emmanuel Garcia,6829,0.14177353632589515,A
Jaclyn Guo,6829,0.14202675235298276,A
Kevin Simmons,6825,0.14227982006199918,A
Alan He,6825,0.14253288777101558,A
Brenda Arun,6824,0.1427859184005142,A
Carl She,6823,0.14303891195049498,A
Joy Ramos,6823,0.1432919055004758,A
Bianca Lu,6820,0.14354478781190316,A
Ruth Gonzalez,6820,0.14379767012333056,A
Jacquelyn Blanco,6819,0.14405051535524013,A
Anne Ortega,6819,0.1443033605871497,A
Madison Foster,6819,0.14455620581905929,A
Monique Ortega,6818,0.14480901397145107,A
Carly Goel,6817,0.14506178504432504,A
Joe Subram,6817,0.145314556117199,A
Lori Dominguez,6817,0.14556732719007298,A
Eugene He,6817,0.14582009826294695,A
Colleen West,6817,0.14607286933582092,A
Lydia Suri,6815,0.14632556624965928,A
Devon Kennedy,6813,0.14657818900446204,A
Maria Wood,6813,0.1468308117592648,A
Jerry Sharma,6812,0.14708339743454973,A
Kelvin Yang,6812,0.14733598310983467,A
Wayne Tang,6812,0.14758856878511964,A
Holly Fernandez,6812,0.14784115446040458,A
Rebekah Suarez,6812,0.14809374013568952,A
Julia Wood,6810,0.14834625165193888,A
Melinda Torres,6809,0.1485987260886704,A
Nathan Wang,6808,0.14885116344588414,A
Jaclyn Liu,6808,0.14910360080309787,A
Arturo Xu,6808,0.1493560381603116,A
Kristina Schmidt,6808,0.14960847551752532,A
Claudia Zhang,6807,0.14986087579522125,A
Jasmine Lewis,6806,0.15011323899339937,A
Jackson Campbell,6806,0.1503656021915775,A
Marshall Li,6805,0.1506179283102378,A
Tanya Ramos,6804,0.1508702173493803,A
Ann Rodriguez,6803,0.15112246930900503,A
Julie Raje,6803,0.15137472126862972,A
Juan Ramos,6803,0.15162697322825444,A
Alan Huang,6802,0.15187918810836132,A
Laura Zhou,6801,0.15213136590895043,A
Beth Gomez,6801,0.15238354370953952,A
Elizabeth Alexander,6800,0.15263568443061082,A
Alejandro Luo,6799,0.1528877880721643,A
Clarence Zhang,6799,0.1531398917137178,A
Ronald Sai,6799,0.1533919953552713,A
Rafael Raje,6799,0.15364409899682477,A
Amy Chow,6798,0.15389616555886046,A
Lance Ortega,6797,0.15414819504137833,A
Dalton Miller,6797,0.1544002245238962,A
Keith Andersen,6795,0.15465217984737847,A
Steve Wu,6795,0.15490413517086074,A
Armando Alonso,6793,0.1551560163353074,A
Lisa Zhu,6793,0.15540789749975406,A
Eugene Zhao,6792,0.15565974158468293,A
Katherine Gonzales,6792,0.15591158566961177,A
Irving Schmidt,6791,0.15616339267502283,A
Logan Hernandez,6791,0.15641519968043388,A
Alexia Foster,6789,0.15666693252680933,A
Lacey Raje,6787,0.15691859121414917,A
Derrick Ruiz,6787,0.15717024990148898,A
Mohamed Pal,6786,0.15742187150931103,A
Blake Collins,6786,0.15767349311713305,A
Edgar Sanchez,6786,0.15792511472495507,A
Jay Arthur,6785,0.1581766992532593,A
Sarah Martinez,6785,0.1584282837815635,A
Cedric Liu,6785,0.15867986830986774,A
Christy Chow,6784,0.15893141575865416,A
Clarence Wu,6779,0.15918277780985157,A
Victoria Cooper,6777,0.15943406570201335,A
Carly Xie,6774,0.15968524235562173,A
Johnny Rai,6773,0.1599363819297123,A
Lacey Yuan,6772,0.16018748442428504,A
Krista Ruiz,6772,0.16043858691885782,A
Bianca Zhao,6772,0.1606896894134306,A
Victoria Stewart,6770,0.16094071774896773,A
Jessie She,6768,0.1611916719254693,A
Colin Stone,6768,0.16144262610197083,A
Geoffrey Gonzalez,6767,0.16169354319895457,A
Alejandro Goel,6766,0.1619444232164205,A
Joe Ramos,6765,0.16219526615436863,A
Arturo Sharma,6765,0.16244610909231677,A
Kelli Raji,6765,0.1626969520302649,A
Jay Raman,6763,0.1629477208091774,A
Whitney Rana,6762,0.16319845250857212,A
Felicia Moreno,6759,0.16344907296941344,A
Trinity Richardson,6753,0.1636994709531479,A
Stacy Diaz,6752,0.1639498318573646,A
Angel Richardson,6752,0.16420019276158127,A
Edwin Bhat,6752,0.16445055366579794,A
Toni Sara,6750,0.164700840410979,A
Mario Goel,6750,0.16495112715616006,A
Jaime Suarez,6748,0.1652013397423055,A
Kelsey Chande,6744,0.16545140401037975,A
Kristi Perez,6743,0.16570143119893618,A
Briana Diaz,6737,0.16595123591038577,A
Jon Pal,6736,0.16620100354231757,A
Curtis Zimmerman,6729,0.16645051161762475,A
Vadim Sazanovich,6725,0.1666998713748607,A
Jonathan Hill,6716,0.1669488974164364,A
Luis Wang,6710,0.16719770098090528,A
Maria Hernandez,6709,0.16744646746585634,A
Edwin Zhao,6706,0.167695122712254,A
Roy Patel,6706,0.16794377795865167,A
Billy Munoz,6705,0.16819239612553152,A
Trevor Bryant,6703,0.16844094013337577,A
Regina Vance,6699,0.1686893358231488,A
Lee Vazquez,6690,0.16893739779726158,A
Bonnie Yuan,6690,0.16918545977137436,A
Heidi Vance,6689,0.16943348466596936,A
Tiffany Li,6685,0.1696813612424931,A
Nicholas Thompson,6685,0.16992923781901687,A
Nelson Jimenez,6684,0.17017707731602283,A
Jaime Alonso,6684,0.1704249168130288,A
Brittney Hu,6679,0.17067257091244573,A
Riley Hayes,6679,0.17092022501186266,A
Melvin Andersen,6679,0.1711678791112796,A
Jacqueline Powell,6676,0.17141542197214313,A
Jacob Wilson,6675,0.17166292775348885,A
Renee Jimenez,6673,0.17191035937579896,A
Dominique Lopez,6673,0.17215779099810904,A
Meghan Vazquez,6669,0.17240507430234794,A
Claudia Sun,6665,0.17265220928851563,A
Eugene Liu,6660,0.17289915887709426,A
Alejandro Chen,6658,0.1731460343066373,A
Brendan Xu,6652,0.1733926872590735,A
Stephanie Collins,6650,0.17363926605247412,A
Isabelle Barnes,6650,0.17388584484587472,A
Harold McDonald,6650,0.17413242363927534,A
Willie Xu,6650,0.17437900243267593,A
Peter Anand,6646,0.1746254329080053,A
Julio Suarez,6639,0.17487160382671005,A
Marc Martin,6636,0.1751176635068614,A
Clayton Kumar,6624,0.17536327823279907,A
Michele Lal,6616,0.17560859632259432,A
